Sample in Buffer,Sample in Window,TRIGGER,openmips0/id0/pc_plus_4[31:0],openmips0/id0/reg1_o[31:0],openmips0/pc_reg0/new_pc[31:0],openmips0/pc_reg0/branch_target_address_i[31:0],inst[31:0],inst_addr[31:0],ram_data_i[31:0],ram_addr[31:0],ram_sel[3:0],ram_data_o[31:0],mmu_memory_version1/directUart/ext_uart_rx[7:0],mmu_memory_version1/directUart/ext_uart_tx[7:0],openmips0/pc_reg0/branch_flag_i,u_ila_0_ext_uart_busy,u_ila_0_ext_uart_ready,pause_signal,ram_we
224,224,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
225,225,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
226,226,0,800020d4,801efff4,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff2,80,06,1,1,0,0,1
227,227,0,800020d4,01fffff2,00000000,800020bc,00000000,800020d4,01fffff2,807efffc,f,00000000,80,06,1,1,0,0,0
228,228,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
229,229,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
230,230,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
231,231,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff2,80,06,0,1,0,0,1
232,232,0,800020c8,01fffff2,00000000,00000000,afa90000,800020c8,01fffff2,807efffc,f,00000000,80,06,0,1,0,0,0
233,233,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
234,234,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
235,235,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff1,80,06,1,1,0,0,1
236,236,0,800020d4,01fffff1,00000000,800020bc,00000000,800020d4,01fffff1,807efffc,f,00000000,80,06,1,1,0,0,0
237,237,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
238,238,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
239,239,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
240,240,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff1,80,06,0,1,0,0,1
241,241,0,800020c8,01fffff1,00000000,00000000,afa90000,800020c8,01fffff1,807efffc,f,00000000,80,06,0,1,0,0,0
242,242,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
243,243,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
244,244,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff0,80,06,1,1,0,0,1
245,245,0,800020d4,01fffff0,00000000,800020bc,00000000,800020d4,01fffff0,807efffc,f,00000000,80,06,1,1,0,0,0
246,246,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
247,247,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
248,248,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
249,249,0,800020c8,801efff4,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff0,80,06,0,1,0,0,1
250,250,0,800020c8,01fffff0,00000000,00000000,afa90000,800020c8,01fffff0,807efffc,f,00000000,80,06,0,1,0,0,0
251,251,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
252,252,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
253,253,0,800020d4,801efff4,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01ffffef,80,06,1,1,0,0,1
254,254,0,800020d4,01ffffef,00000000,800020bc,00000000,800020d4,01ffffef,807efffc,f,00000000,80,06,1,1,0,0,0
255,255,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
256,256,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
257,257,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
258,258,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01ffffef,80,06,0,1,0,0,1
259,259,0,800020c8,01ffffef,00000000,00000000,afa90000,800020c8,01ffffef,807efffc,f,00000000,80,06,0,1,0,0,0
260,260,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
261,261,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
262,262,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01ffffee,80,06,1,1,0,0,1
263,263,0,800020d4,01ffffee,00000000,800020bc,00000000,800020d4,01ffffee,807efffc,f,00000000,80,06,1,1,0,0,0
264,264,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
265,265,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
266,266,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
267,267,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01ffffee,80,06,0,1,0,0,1
268,268,0,800020c8,01ffffee,00000000,00000000,afa90000,800020c8,01ffffee,807efffc,f,00000000,80,06,0,1,0,0,0
269,269,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
270,270,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
271,271,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01ffffed,80,06,1,1,0,0,1
272,272,0,800020d4,01ffffed,00000000,800020bc,00000000,800020d4,01ffffed,807efffc,f,00000000,80,06,1,1,0,0,0
273,273,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
274,274,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
275,275,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
276,276,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01ffffed,80,06,0,1,0,0,1
277,277,0,800020c8,01ffffed,00000000,00000000,afa90000,800020c8,01ffffed,807efffc,f,00000000,80,06,0,1,0,0,0
278,278,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
279,279,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
280,280,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01ffffec,80,06,1,1,0,0,1
281,281,0,800020d4,01ffffec,00000000,800020bc,00000000,800020d4,01ffffec,807efffc,f,00000000,80,06,1,1,0,0,0
282,282,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
283,283,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
284,284,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
285,285,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01ffffec,80,06,0,1,0,0,1
286,286,0,800020c8,01ffffec,00000000,00000000,afa90000,800020c8,01ffffec,807efffc,f,00000000,80,06,0,1,0,0,0
287,287,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
288,288,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
289,289,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01ffffeb,80,06,1,1,0,0,1
290,290,0,800020d4,01ffffeb,00000000,800020bc,00000000,800020d4,01ffffeb,807efffc,f,00000000,80,06,1,1,0,0,0
291,291,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
292,292,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
293,293,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
294,294,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01ffffeb,80,06,0,1,0,0,1
295,295,0,800020c8,01ffffeb,00000000,00000000,afa90000,800020c8,01ffffeb,807efffc,f,00000000,80,06,0,1,0,0,0
296,296,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
297,297,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
298,298,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01ffffea,80,06,1,1,0,0,1
299,299,0,800020d4,01ffffea,00000000,800020bc,00000000,800020d4,01ffffea,807efffc,f,00000000,80,06,1,1,0,0,0
300,300,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
301,301,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
302,302,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
303,303,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01ffffea,80,06,0,1,0,0,1
304,304,0,800020c8,01ffffea,00000000,00000000,afa90000,800020c8,01ffffea,807efffc,f,00000000,80,06,0,1,0,0,0
305,305,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
306,306,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
307,307,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01ffffe9,80,06,1,1,0,0,1
308,308,0,800020d4,01ffffe9,00000000,800020bc,00000000,800020d4,01ffffe9,807efffc,f,00000000,80,06,1,1,0,0,0
309,309,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
310,310,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
